#漢字	音標	解釋
□	tʰo5	摞
蟥	oŋ2	
蟹	xai3	
蟾	sø̃ỹ2	
蠢	tʰən3	
血	sø7	
行	ɕin2	〜为
行	ɕin5	品〜
行	xoŋ2	银〜
銜	xã2	
街	kai1	
衙	ŋa2	
衡	ɕin2	
衣	i1	
補	pu3	
表	piau3	
衫	sã1	
襯	tɕʰiĩ5	
衰	sei1	
衷	təŋ1	
袁	ø̃ỹ2	
襖	ŋau3	
袋	tʰai5	
袍	pʰau2	
袖	tɕʰiəu5	
袜	va7	
被	pʰi5-	〜子
被	pʰei5=	〜打
襲	ɕi7	
裁	tsʰai2	
裂	lie7	
裝	toŋ1	
襠	toŋ1	
裕	y5	
裙	tʰən2	
褲	kʰu5	
襉	kã3	
裳	tʰoŋ2	
裸	lo3	
裹	ko3	
製	tsɿ5	
褒	pau1	
褥	iəu7	
褯	tɕʰia7	〜子
褶	tø7	
襟	kin1	
襻	pʰã5	
西	ɕi1	
要	iau1	〜求
要	iau5	想〜
覆	fu7	
見	kiĩ5	
觀	kø̃ỹ1	
規	kei1	
覓	mi7	
視	sɿ5	
覽	lã3	
覺	kau5	
覺	kʰio7	
角	ko7	
解	kai3	
觸	tʰəu7	
言	ŋiĩ2	
話	va5-	
譽	y5	
誌	tsɿ5	
誓	sɿ5	
警	kin3	
譬	pʰei5	
計	ki5	
訂	tin5	
訃	pʰu5	
認	ȵin5	
譏	ki1	
討	tʰau3	
讓	ȵioŋ5	
訓	sən5	
議	ŋi5	
訊	ɕin5	
記	ki5	
講	koŋ3	
諱	vei3	
許	fy3	
論	lən2	〜语
論	lən5	议〜
訟	səŋ5	
諷	fəŋ3	
設	sø7	
訪	xoŋ3	
訣	tø7	
证	tən5	
評	pʰin2	
識	sɿ7	
詐	tsa5	
訴	səu5	
診	tã3	
詞	tsʰɿ2	
譯	i7	
試	sɿ5	
詩	sɿ1	
誠	tʰən2	
誅	ky1	
話	fa5	
誕	tʰã3	
詭	kei3	
該	kai1	
詳	tɕʰioŋ2	
誣	vu1	
語	ŋy3	
誤	ŋu5	
誘	iəu3	
說	sø7	
誦	səŋ5	
請	tɕʰiã3	
諸	ky1	
諾	lo7	
讀	tʰəu7	
課	kʰo5	
誰	sei2	
調	tʰiau2	〜和
調	tiau5	音〜
諒	lioŋ5	
談	tʰã2	
誼	ŋi2	
謀	miau2	
諜	tʰie7	
謊	xoŋ3	
諫	kã5	
諧	xai5	
謂	vei5	
讒	tsʰã2	
諺	ŋiĩ5	
謎	mi2-	
謎	mei5-	
謝	tɕʰia5	
謠	iau2	
謗	poŋ5	
謙	kʰiĩ1	
謹	kin3	
謬	miau5	
譚	tʰã2	
譜	pʰu3	
谷	ku7	
豁	xa7	
豆	tʰiau5	
豇	koŋ1	
豉	sɿ5	
豌	ø̃ỹ3	
豚	tʰən2	
象	ɕioŋ5	
豪	xau2	
豫	y5	
豶	fən2	
豹	pʰau5	
豺	tsʰai2	
貂	tiau1	
貌	mau5	
貝	pei5	
貞	tən1	
貢	kəŋ5	
財	tsʰai2	
責	tɕie7	
賢	ɕiĩ2	
敗	pʰai5	
貨	xo5	
質	tsɿ7	
販	fã5	
貪	tʰã1	
貧	pʰin2	
貶	piĩ3	
購	kiau5	
貫	kø̃ỹ5	
貳	y5	
賤	tɕʰiĩ5	
貼	tʰie7	
貴	kei5	
貸	tʰai5	
貿	miau5	
費	fei5	
賀	xo5	
賊	tɕʰie7	
賈	kia3	
賄	fei3	
賂	ləu5	
贓	tsoŋ1	
資	tsɿ1	
賒	sa1	
賦	fu5	
賭	təu3	
贖	səu7	
賞	soŋ3	
賜	sɿ5	
賠	pʰei2	
賴	lai5	
賺	tsʰã5	
賽	sai5	
贊	tsã5	
贈	tɕiĩ5	
贏	iã2	
赤	tʰa7	
赦	sa5	
走	tɕiau3	
赴	pʰu7	
趙	tʰau5	
趕	kø̃ỹ3	
起	kʰi3	
趁	tʰən5	
超	tʰau1	
越	ø7	
趨	tɕʰi1	
趟	tʰoŋ3	
趣	tɕʰi5	
足	tsəu7	
趼	tən3	
趾	tsɿ3	
躍	io7	
跌	tie7	
跑	pʰau3	
跛	po3	
距	ky5	
跟	kiĩ1	
跨	kʰa5	
跪	kʰei3	
路	ləu5	
跳	tʰiau5	
踐	tɕʰiĩ5	
踏	tʰa7	
踢	tʰia7	
蹤	tsəŋ1	
蹄	tʰi2	
躡	ȵie7	
蹭	tɕiĩ5	
蹲	tsʰən2	
躁	tsau5	
身	sən1	
躬	kəŋ1	
躲	to3	
躺	tʰoŋ3	
軛	ŋie7	
車	ky1	~马炮
車	tʰa1	〜辆
軋	ia7	
軌	kei3	
軒	kʰiĩ1	
轉	tø̃ỹ3	
輪	lən2	
軟	ŋø̃ỹ3	
轟	fən1	
軸	tʰəu7	
輕	kʰiã1	
載	tsai5	
轎	kʰiau5	
較	kiau3	
較	kiau5	
輔	pʰu3	
輛	lioŋ3	
輩	pei5	
輝	fei1	
輻	fu7	
輯	tɕʰi7	
輸	fy1	
轡	pei5	
轅	ø̃ỹ2	
轄	xa7	
轍	tʰø7	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pi7	
辟	pʰi7	
辣	la7	
辨	pʰiĩ5	
辯	pʰiĩ5	
辮	pʰiĩ5	
辰	sən2	
辱	iəu7	
邊	piĩ1	
遼	liau2	
達	tʰa7	
遷	tɕʰiĩ1	
迂	y7	
迅	ɕin5	
過	ku5	〜去
過	ko5	〜失
邁	mã5	
迎	ŋin2	
運	vən5	
近	kʰin5	
返	fã3	
還	fã2	〜原
還	xai5	〜有
進	tɕin5	
遠	ø̃ỹ3	
違	vei2	
連	liĩ2	
遲	tsʰɿ2	
迥	sən3	
迫	pʰø7	
迭	tʰie7	
述	fy7	
迷	mi2-	
迷	mei2-	
逬	pin5	
迹	tɕia7	
追	tei1	
退	tʰei5	
送	səŋ5	
適	sɿ7	
逃	tʰau2	
逆	ŋi7	
選	ɕiĩ3	
遜	sən1	
逍	ɕiau1	
透	tʰiau5	
逐	tʰəu7	
遞	tʰi5	
途	tʰəu2	
逗	tʰiau5	
通	tʰəŋ1	
逛	kʰoŋ5	
逝	sɿ5	
逞	tʰən3	
速	səu7	
造	tsʰau5	
逢	fəŋ2	
逵	kʰei2	
逸	i7	
逼	pi7	
逾	y5	
遁	tʰən5	
遂	ɕi5	
遇	ŋy5	
遍	pʰiĩ5	
遐	ɕia2	
道	tʰau5	
遺	i2	
遢	tʰa7	
遣	kʰiĩ3	
遙	iau2	
遭	tsau1	
遮	ta1	
遵	tsən1	
避	pʰei5	
邀	iau1	
邋	la7	
鄧	tʰiĩ5	
那	la5	
邦	poŋ1	
邪	tɕʰia2	
郵	iəu2	
邵	sau5	
鄒	tɕiau1	
鄰	lin2	
郁	iəu7	
郊	kiau1	
郞	loŋ2	
鄭	tʰã5	
郝	xo7	
郡	tʰən5	
部	pʰu5	
郭	ko7	
都	təu1	
鄂	ŋo7	
鄙	pʰi3	
酉	iəu3	
酌	to7	
配	pʰei5	
酒	tɕiəu3	
醞	vən5	
酣	xø̃ỹ1	
酥	səu1	
酪	lo7	
酬	tʰəu2	
醬	tɕioŋ5	
酵	ɕiau5	
酷	kʰu3	
酸	sø̃ỹ1	
釅	ŋiĩ5	
釀	ioŋ5	
醇	sən2	
醉	tɕi5-	
醉	tsʰei5=	
醋	tsʰəu5	
醒	ɕiã3	
醮	tɕiau5	
采	tsʰai3	
釉	iəu5	
釋	sɿ7	
里	li3	
重	tʰəŋ2	~复
重	tʰəŋ5	轻〜
野	ia3	
量	lioŋ2	〜长短
量	lioŋ5	数〜
金	kin1	
釜	fu5	
鈸	pʰø7	
鑑	kã5	
鑾	lø̃ỹ2	
銼	tsʰo5	
鍘	tsʰa7	
鏨	tsã5	
鐃	ȵiau2	
鐾	pʰiĩ3	
鑊	o1	锅
鑷	ȵie7	
針	tən1	
釘	tiã5	〜住
釘	tiã1	铁〜
釣	tiau5	
釵	tsʰai1	
鈍	tʰən5	
鈔	tsʰau1	
钟	təŋ1	
鋼	koŋ1	
鋼	koŋ5	刀钝了，〜一〜
鑰	io7	
欽	kʰin1	
鈞	tən1	
鉤	kiau1	
鈕	ȵiəu3	
錢	tɕʰiĩ2	
鉗	kʰiĩ2	
鉢	pø7	
鑽	tsø̃ỹ1	〜研
鑽	tsø̃ỹ5	〜子
鐵	tʰie7	
鈴	lin2	
鉛	ø̃ỹ2	
鐸	tʰø7	
鐺	toŋ1	
銅	tʰəŋ2	
鋌	tʰin3	
銘	min2	
鏟	tsʰã3	
銃	tʰəŋ5	
銀	ŋin2	
鑄	ky5	
鋪	pʰu1	
鋪	pʰu5	
銷	ɕiau1	
鎖	so3	
鋤	tsʰəu2	
鏽	ɕiəu5	
鋒	fəŋ1	
鐧	kã5	
銳	tei5	
錯	tsʰo1	
錨	mau2	
錫	ɕia7	
鑼	lo2	
錘	tʰei2	
錐	tei1	
錦	kin3	
錠	tʰin5	
鍵	kʰiĩ5	
鋸	kie5	
鍬	tɕʰiau1	
鍾	təŋ1	
鍛	tø̃ỹ5	
鍍	tʰəu5	
鎭	tən5	
鎔	in2	
鏡	kiã5	
鐐	liau5	
鐮	liĩ2	
鑲	ɕioŋ1	
長	tʰoŋ2	〜短
長	toŋ3	生〜
門	mən2	
閂	sø̃ỹ1	
閃	sø̃ỹ3	
閉	pei5	
問	vən5	
闖	tsʰoŋ3	
閏	vən5	
闲	xã2	
間	kã5	〜断
間	kã1	中〜
悶	mən5	
閘	tsa7	
鬧	lau5	
閨	kʰei1	
聞	vən2	
閩	min3	
閥	fa7	
閣	ko7	
閱	ø7	
閹	iĩ1	
閻	ȵiĩ2	
闊	kʰø7	
阜	sau5	可能是训读
隊	tei5	
阮	ŋø̃ỹ3	
防	xoŋ2	
陽	ioŋ2	
陰	in5	
陣	tʰən5	
階	kai1	
阻	tsəu3	
阿	a1	〜哥
阿	o1	〜胶
附	fu5	
際	tɕi5	
陸	ləu7	
隴	ləŋ2	
陳	tʰən2	
陋	liau5	
陌	pø7	
降	koŋ5	下〜
降	kʰioŋ2	投〜
限	xã5	
陝	sø̃ỹ3	
陛	pi7	
陡	tiau3	
院	ø̃ỹ5	
除	kʰy2	
險	ɕiĩ3	
陪	pʰei2	
陵	lin2	
陶	tʰau2	
陷	xã5	
隆	ləŋ2	
隍	xoŋ2	
隨	tɕʰi2-	
隱	in3	
隔	ka7	
隘	ŋai5	
障	toŋ5	
隧	ɕi5	
隨	sei2-	
隨	tsʰei2=	
隶	tʰi5	
難	lã2	〜易
難	lã5	患〜
雀	tɕʰio7	
雁	ŋã5	
雄	ɕin2	
雅	ia3	
集	tɕʰi7	
雇	ku5	
雌	tsɿ1	
雕	tiau1	
雨	y3	
雪	ɕie7	
零	liã2	
雷	li2	
雷	lei2	
雹	pʰau5	
霧	vu5	
需	ɕi1	
霄	ɕiau1	
震	tən5	
黴	mei2	
霍	xo7	
霎	sa7	
霜	soŋ1	
霞	ɕia2	
露	ləu5	
霸	pa5	
霹	pʰi7	
靑	tɕʰiã1-	
靖	tɕʰin5	
靜	tɕʰin5	
非	fei1	
靠	kʰau5	
靡	mei2	
面	miĩ5	
革	kie7	
鞋	xai5	
鞍	ŋø̃ỹ1	
鞘	sau1	
鞘	ɕiau5	
鞭	piĩ1	
韌	vən5	
韓	xø̃ỹ2	
韭	kiəu3	
音	in5	
韻	vən5	
韶	sau2	
頁	ie7	
頂	tin3	
頃	tʰən3	
項	xoŋ5	
順	sən5	
须	ɕi1	
頑	vã2	
顧	ku5	
頓	tən5	
頒	pʰã1	
頌	səŋ5	
預	ŋy5	
領	lin3=	〜导
領	liã3	衣〜子
頗	pʰo1	
頸	kiã3	
頻	pʰin2	
穎	in5	
顆	kʰo3	
題	tʰiĩ2-	
題	tʰi2=	
顏	ŋã2	
額	ŋie7	
顚	tiĩ1	
顴	tʰø̃ỹ2	
風	fəŋ1	
颼	səu1	
飄	pʰiau1	
飛	fei1	
食	sɿ7	
餈	tsʰɿ2	
餐	tsʰã5	
餾	liəu1	
餿	ɕiau1	
饥	ki1	
飩	tʰən2	
飯	fã5	
飮	in3	
飾	sɿ7	
飽	pau3	
飼	tsʰɿ5	
餌	y3	
饒	ȵiau2	
餃	kiau3	
餠	piã3	
餓	ŋo5	
餘	y2	
餛	fən2	
餡	xã5	
館	kø̃ỹ3	
饞	tsʰã2	
饃	mo2	
饅	moŋ2	
首	səu3	
香	ɕioŋ1	
馨	ɕin1	
馬	ma3	
馴	sən5	
馳	tsʰɿ2	
驅	kʰy1	
駁	po7	
驢	li2	
駛	sɿ3	
駙	fu5	
駒	ky1	
駐	ky5	
駝	tʰo2	
駕	kia5	
駡	ma5	
驕	kiau1	
駱	lo7	
駭	xai5	
驗	ŋiĩ5	
駿	tsən5	
騎	kʰi2	
騙	pʰiĩ5	
騷	sau1	
騾	lo2	
驟	tɕʰiau5	
骨	kei7	
髓	ɕi2	
髙	kau1	
髻	ki5	
鬃	tsəŋ1	
鬢	pin5	
鬚	ɕi1	
鬮	kiau1	
鬼	kei3	
魁	kʰei1	
魂	fən2	
魄	pʰa7	
魘	iĩ5	
魏	vei5	
魔	mo2	
鰍	tɕʰiəu1	
鰓	sai1	
鰾	pʰiau3	
鱖	kei5	
魚	ŋy2	
魯	ləu3	
鮑	pʰau2	
鮮	ɕiĩ1	
鰱	liĩ2	
鯉	li3	
鯽	tɕi7	
鯨	kin1	
鰭	kʰi2	
鰭	sø̃ỹ5	
鱉	pʰie7	
鱗	lin2	
鴣	ku1	
鷂	iau5	
鸕	ləu2	
鳥	tiau3	
鳩	kiəu1	
雞	ki1	
鳴	min2	
鷗	ȵiau1	
鴉	ia1	
鴨	ŋa7	
鴦	ioŋ1	
鴛	ø̃ỹ1	
鴿	ko7	
鸞	lø̃ỹ2	
鴻	fəŋ2	
鵑	tø̃ỹ1	
鵝	ŋo2	
鵡	vu3	
鵲	tɕʰio7	
鵪	ŋø̃ỹ1	
鵬	pʰəŋ2	
鷀	tsʰɿ2	
鶴	xo7	
鸚	in5	
鷺	ləu5	
鷹	in5	
鹹	xã2	
鹿	ləu7	
麒	kʰi2	
麝	sa5	
麥	ma7	
麪	miĩ5	
麻	ma2	
麾	fei1	
黃	xoŋ2	
黍	fy3	
黎	li2	
黏	tø̃ỹ1	
黑	ɕie7	
默	mø7	
鼎	tin3	
鼓	ku3	
鼠	fy3	
鼬	iəu5	
鼻	pʰi7	
鼾	xø̃ỹ5	
齊	tɕʰi2	
齒	tsʰɿ3	
齡	lin2	
龍	ləŋ2	
龔	kəŋ1	
龕	kʰø̃ỹ1	
龜	kei1	
