#漢字	音標	解釋
㞎	pɒ3	屎~~
累	luɘi3	积~
絮	ɕi5	
繁	fᴀᵑ2	
糾	tɕiɜɤ1	
紅	xoŋ2	
紂	tsɜɤ5	
約	ʑio2	
級	tɕi2	
紀	tɕi3	
紉	zɘⁿ3	
純	ʃuɘⁿ/ɕyɘⁿ2	
紗	sɒ1	
綱	kᴀᵑ1	
納	nɒ2	
縱	tsoŋ5	
紛	fɘⁿ1	
紙	tsɿᵊ3	
紋	vɘⁿ2	
紡	fᴀᵑ3	
紐	niɜɤ3	
線	ɕiᴇ̃5	
練	liᴇ̃5	
組	tsʉ3	
紳	sɘⁿ1	
細	ɕi5	
終	tsoŋ1	
縐	tsɜɤ5	
絆	pʰᴀᵑ5	
紹	sɑ5	
經	tsɪⁿ1	
綁	pᴀᵑ3	
絨	zoŋ2	
結	tɕi2	
繞	zɑ5	
繞	zɑ3	围~
給	kɘi3	
絕	tɕi2	
絞	tɕiɑ3	
統	tʰoŋ3	
絹	tɕiᴇ̃1	
繡	ɕiɜɤ5	
綏	ʃuɘi/ɕyɘi1	
繼	tɕi5	
績	tɕi2	
緒	ɕi5	
續	sʉ2	
繩	ʃuɘⁿ/ɕyɘⁿ2	
維	vɘi2	
綿	miᴇ̃2	
繃	poŋ1	
綢	tsʰɜɤ2	
綜	tsoŋ1	
綠	lʉ2	
綴	tʃuɘi/tɕyɘi2	
緬	miᴇ̃3	
緞	tuɘⁿ5	
緩	xuɘⁿ3	
縷	lɜɤ3	
編	piᴇ̃1	
緣	ʑiᴇ̃2	
縛	po2	
縫	foŋ2	~衣裳
縫	foŋ5	门~
纏	tsʰᴀᵑ2	
繳	tɕiɑ3	
缸	kᴀᵑ1	
缺	tɕʰi2	
缽	po2	
罐	kuɘⁿ5	
网	vᴀᵑ3	
罕	xᴀᵑ3	
羅	lo2	
罰	fɒ2	
罷	pɒ5	
罩	tsɑ5	
罪	tʃuɘi/tɕyɘi5	
置	tsɿᵊ2	
署	sʉ3	
羊	ʑiᴀᵑ2	
羌	tɕʰiᴀᵑ1	
美	mɘi3	
羔	kɑ1	
羞	ɕiɜɤ1	
羡	ɕiᴇ̃5	
羣	tsʰɪⁿ2	
羽	ʑi3	
翁	ɣoŋ1	
翅	tsʰɿᵊ5	
翹	tɕʰiɑ1	
翠	tʃʰuɘi/tɕʰyɘi5	
翡	fɘi3	
翰	xᴀᵑ5	
翻	fᴀᵑ1	
翼	ʑi5	
耀	ʑiɑ5	
老	lɑ3	
考	kʰɑ3	
者	tsɘi3	
而	ɣɚ2	
耍	ʃuɒ/ɕyɒ3	
耐	na5	
耕	kɘⁿ1	
耖	tsʰɑ5	翻整
耗	xɑ5	
耙	pɒ5	
耳	ɣɚ3	
耶	ʑi1	
耷	tʰɒ1	垂下:~耳朵
恥	tsʰɿᵊ3	
耽	tᴀᵑ1	
聶	ni2	
聊	liɑ2	
聾	loŋ1	
聒	kuɒ2	
聘	pʰɪⁿ5	
聰	tsʰoŋ1	
肅	sʉ2	
肆	sɿᵊ5	
肆	ʑi5	
肉	zʉ2	
肋	lɘi2	
肌	tɕi1	
肖	ɕiɑ1	
肘	tsɜɤ3	
肚	tʉ5	~子疼
肚	tʉ3	猪~
肝	kᴀᵑ1	
腸	tsʰᴀᵑ2	
股	kʉ3	
肢	tsɿᵊ1	
肤	fʉ1	
肥	fɘi2	
肨	pʰᴀᵑ1	肿~
肩	tɕiᴇ̃1	
肪	fᴀᵑ1	
骯	ɣᴀᵑ1	
肯	kʰɘⁿ3	
育	zʉ2	
肴	ʑiɑ2	
肺	fɘi5	
腎	sɘⁿ5	
腫	tsoŋ3	
脹	tsᴀᵑ5	
脅	ɕi2	
胃	uɘi5	
膽	tᴀᵑ3	
背	pɘi1	~人
背	pɘi5	脊~
胎	tʰa1	
胖	pʰᴀᵑ5	
勝	sɘⁿ5	
胞	pɑ1	
胡	xʉ2	
胯	kʰuɒ3	
膠	tɕiɑ1	
胸	ɕioŋ1	
能	nɘⁿ2	
脂	tsɿᵊ1	
脆	tʃʰuɘi/tɕʰyɘi5	
脉	mɘi2	
脊	tsɿᵊ2	~背
脊	tɕi2	~梁骨
脏	tsᴀᵑ1	
臍	tɕʰi2	
腦	nɑ3	
膿	noŋ2	
脚	tɕio2	
脯	pʰʉ3	
脫	tʰo2	
臉	liᴇ̃3	
脾	pʰi2	
臘	lɒ2	
腐	fʉ3	
腑	fʉ3	
腔	tɕʰiᴀᵑ1	
腕	uɘⁿ3	
腥	sɪⁿ1	
腮	sa1	
腰	ʑiɑ1	
腹	fʉ2	
膩	ni5	
騰	tʰɘⁿ2	
腿	tʰuɘi3	
膏	kɑ1	
膘	piɑ1	
膝	tɕʰi2	
膳	sᴀᵑ5	
膼	tʃuɒ/tɕyɒ2	
臂	pɘi5	
臃	ʑioŋ1	
臣	tsʰɘⁿ2	
自	tsɿᵊ5	
臭	tsʰɜɤ5	
至	tsɿᵊ5	
致	tsɿᵊ5	
舀	ʑiɑ3	
舅	tɕiɜɤ5	
舍	sɘi3	
舍	sɘi5	
舒	sʉ1	
舔	tʰiᴇ̃3	
舜	soŋ5	
舞	vʉ3	
舟	tsɜɤ1	
航	xᴀᵑ2	
般	pᴀᵑ1	
艦	tɕiᴇ̃5	
舵	tʰo2	
船	tʃʰuɘⁿ/tɕʰyɘⁿ2	
艇	tʰɪⁿ3	
良	liᴀᵑ2	
艱	tɕiᴇ̃1	
色	sɘi2	
色	ɕi2	白
艳	ʑiᴇ̃5	
藝	ʑi5	
艾	ɣa5	
節	tɕi2	
芋	ʑi5	
芍	so2	
芒	mᴀᵑ2	
芝	tsɿᵊ1	
芥	ka5	
蘆	lʉ2	
芬	fɘⁿ1	
芭	pɒ1	
花	xuɒ1	
芳	fᴀᵑ1	
芹	tsʰɪⁿ2	
芽	ʑiɒ2	
葦	uɘi3	
蒼	tsʰᴀᵑ1	
苏	sʉ1	
苔	tʰa1	
苗	miɑ2	
苟	kɜɤ3	
若	zo2	
苦	kʰʉ3	
英	zɪⁿ1	
蘋	pʰɪⁿ2	
茂	mʉ5	
范	fᴀᵑ5	
茄	tɕʰi2	
茅	mɑ2	
茫	mᴀᵑ2	
茯	fʉ2	
茴	xuɘi2	
茶	tsʰɒ2	
茸	zoŋ2	
荀	sɪⁿ2	
草	tsʰɑ3	
荒	xuᴀᵑ1	
荔	li5	
薺	tɕʰi5	
榮	ʑioŋ2	
葷	xoŋ1	
蕁	ɕi2	~麻
荫	zɪⁿ1	
藥	ʑio2	
荷	xo2	
荸	pi2	~荠
莉	li5	
蓮	liᴇ̃2	
莽	mᴀᵑ3	
菊	tsʉ2	
菌	tsɪⁿ5	
菖	tsʰᴀᵑ1	
菜	tsʰa5	
菢	pɑ5	鸡打~
菩	pʰʉ2	
菱	lɪⁿ2	
萄	tʰɑ1	葡~
萍	pʰɪⁿ2	
萎	uɘi1	
螢	zɪⁿ2	
營	zɪⁿ2	
蕭	ɕiɑ1	
薩	sɒ1	菩~
落	lo2	~下
落	lɑ5	莲花
葛	ko2	
董	toŋ3	
葫	xʉ2	
葬	tsᴀᵑ5	
葱	tsʰoŋ1	
葵	kʰuɘi2	
蔣	tɕiᴀᵑ3	
蒙	moŋ2	
蒙	moŋ1	~一层纸
蒜	ʃuɘⁿ/ɕyɘⁿ5	
蒯	kʰua3	
蒲	pʰʉ3	
蒸	tsɘⁿ1	
蒿	xɑ1	
蓉	ʑioŋ2	
蓑	so1	
蓖	pi5	
藍	lᴀᵑ2	
蓬	pʰoŋ2	
蔗	tsɿᵊ5	
蔡	tsʰa5	
蔬	sʉ1	
藹	ɣa3	
蔽	pi5	
蕃	fᴀᵑ1	
蕉	tɕiɑ1	
蕊	ʒuɘi/ʑyɘi3	
蕨	tɕi2	~菜
薄	po5	~荷
薄	po2	厚~
薅	xɑ1	
薛	ɕi2	
薪	sɪⁿ1	
藏	tsʰᴀᵑ2	收~
藏	tsᴀᵑ5	西~
藕	ɣɜɤ3	
藤	tʰɘⁿ2	
藿	xo2	
蘸	tsᴀᵑ5	
虎	xʉ3	
虜	lʉ3	
虐	nio2	
虑	li5	
虛	ɕi1	
蟲	tsʰoŋ2	
虹	kᴀᵑ5	
雖	ʃuɘi/ɕyɘi1	
蟻	ʑi5	
蚊	vɘⁿ2	
蚌	poŋ5	
蠶	tsʰᴀᵑ2	
蚣	koŋ1	
蚤	tsɑ3	
蛀	tsʉ5	
蛆	tɕʰi1	
蛇	sɘi2	
蛋	tᴀᵑ5	
蛙	uɒ1	
蛛	tsʉ1	
蛤	xɒ2	獭~蟆
蠻	mᴀᵑ2	
蛾	ɣo2	
蜀	tsʉ2	
蜂	foŋ1	
蜈	vʉ2	
蜒	tʰɪⁿ2	
蛻	tʰoŋ5	蛇~皮
蜘	tsɿᵊ1	
蜜	mi2	
蠟	lɒ2	
蜢	moŋ3	
蜻	tsʰɪⁿ1	
蠅	zɪⁿ1	
蝗	xuᴀᵑ2	
蝠	fʉ2	
蝦	ɕiɒ1	
蝶	ti2	
螃	pʰᴀᵑ2	
螳	tʰᴀᵑ2	
螺	lo2	
蟆	mɒ1	癞蛤~
蟒	mᴀᵑ3	
蟥	xuᴀᵑ2	
蟹	xa3	
蠢	tsʰoŋ3	
血	ɕi2	
衅	sɪⁿ5	
行	sɪⁿ2	~为
行	xᴀᵑ2	商~
街	ka1	
衙	ʑiɒ2	
衡	xɘⁿ2	
衣	ʑi1	
補	pʉ3	
表	piɑ3	
衫	sᴀᵑ1	
衰	ʃua/ɕya1	
衷	tsoŋ1	
袁	ʑiᴇ̃2	
袋	ta5	
袍	pʰɑ2	
袖	ɕiɜɤ5	
袜	vɒ2	
被	pi5	
襲	ɕi2	
裁	tsʰa2	
裂	li2	
裝	tʃuᴀᵑ/tɕyᴀᵑ1	
裌	tɕiɒ2	
裕	ʑi5	
裙	tsʰɪⁿ2	
褲	kʰʉ5	
裳	sᴀᵑ1	
裸	lo3	
裹	ko3	
褂	kuɒ5	
褒	pɜɤ1	
褥	zʉ2	
褪	tʰuɘi5	
褪	tʰoŋ5	
襖	ɣɑ3	
襟	tsɪⁿ1	
西	ɕi1	
要	ʑiɑ1	~求
要	ʑiɑ5	重~
見	tɕiᴇ̃5	
觀	kuɘⁿ1	
規	kuɘi1	
視	sɿᵊ5	
覽	lᴀᵑ3	
覺	tɕio2	~得
覺	tɕiɑ5	睡
角	ko2	
角	tɕio2	两~钱
觘	tsʰɑ5	狗~的，~人
解	ka3	~开
解	xa5	姓
觸	tsʉ2	
言	ʑiᴇ̃2	
詠	zɪⁿ5	
譽	ʑi5	
謄	tʰɘⁿ2	
警	tsɪⁿ3	
譬	pʰi2	~如
計	tɕi5	
訂	tɪⁿ5	
認	pʰʉ2	
認	zɘⁿ5	
討	tʰɑ3	
讓	zᴀᵑ5	
訖	tɕʰi2	
訓	sɪⁿ5	
議	ʑi5	
記	tɕi5	
講	tɕiᴀᵑ3	
諱	xuɘi5	
許	ɕi3	
論	loŋ5	
訟	soŋ5	
諷	foŋ3	
訪	fᴀᵑ3	
評	pʰɪⁿ2	
詐	tsɒ5	
訴	sʉ5	
診	tsɘⁿ1	~所
診	tsɘⁿ3	~断
詞	tsʰɿᵊ2	
詔	tsɑ5	
誆	kʰuᴀᵑ1	
試	sɿᵊ5	
詩	sɿᵊ1	
誠	tsʰɘⁿ2	
話	xuɒ5	
詭	kuɘi3	
該	ka1	
詳	tɕʰiᴀᵑ2	
語	ʑi3	
誤	vʉ5	
誘	ʑiɜɤ5	
說	so2	
誦	soŋ5	
請	tsʰɪⁿ3	
諾	no2	
讀	tʉ2	
課	kʰo5	
誰	ʃuɘi/ɕyɘi2	
調	tʰiɑ2	~和
調	tʰiɑ3	~头
調	tiɑ5	~动
諒	liᴀᵑ5	
談	tʰᴀᵑ2	
誼	ni2	
謀	mɜɤ2	
謊	xuᴀᵑ3	
謂	uɘi5	
諺	ʑiᴇ̃5	
謎	mi5	
謝	ɕi5	
謠	ʑiɑ2	
謗	pᴀᵑ5	
謙	tɕʰiᴇ̃1	
謹	tsɪⁿ3	
謬	miɜɤ5	
譚	tʰᴀᵑ2	
譜	pʰʉ3	
谷	kʉ2	
豁	xo2	
豆	tɜɤ5	~号
豉	sɿᵊ5	豆~
豌	uɘⁿ1	
象	ɕiᴀᵑ5	
豪	xɑ2	
豹	pɑ5	
豺	tsʰa2	
貂	tiɑ1	
貌	mɑ5	
貞	tsɘⁿ1	
負	fʉ5	
貢	koŋ5	
財	tsʰa2	
責	tsɘi2	
賢	ɕiᴇ̃2	
敗	pa5	
貨	xo5	
質	tsɿᵊ2	
販	fᴀᵑ5	
貪	tʰᴀᵑ1	
貧	pʰɪⁿ2	
貶	piᴇ̃3	
購	kɜɤ5	
貫	kuɘⁿ5	
賤	tɕiᴇ̃5	
貼	tʰi2	
貴	kuɘi5	
貸	ta5	
貿	mʉ5	
費	fɘi5	
賀	xo5	
賊	tsɘi2	
賈	tɕiɒ3	
賄	xuɘi5	
賃	lɪⁿ5	
贓	tsᴀᵑ1	
資	tsɿᵊ1	
賑	tsɘⁿ5	
賒	sɘi1	
賦	fʉ5	
賭	tʉ3	
贖	sʉ2	
賞	sᴀᵑ3	
賜	tsʰɿᵊ5	
賠	pʰɘi2	
賴	la5	
贅	tʃuɘi/tɕyɘi5	
賽	sa5	
赞	tsᴀᵑ5	
贈	tsɘⁿ5	
贏	zɪⁿ2	
赦	sɘi5	
赫	xɘi2	
走	tsɜɤ3	
赴	fʉ5	
趙	tsɑ5	
趕	kᴀᵑ3	
起	tɕʰi3	
趁	tsʰɘⁿ5	
超	tsʰɑ1	
越	ʑi2	
趨	tɕʰi1	
趟	tʰᴀᵑ5	
趣	tɕʰi5	
足	tsʉ2	
趴	pʰɒ1	
躉	toŋ3	~来卖
躍	ʑiɑ5	
跑	pʰɑ2	
距	tɕi5	
跡	tɕi2	
跨	kʰuɒ5	文
跨	tɕʰiɒ5	白
跩	tʃua/tɕya5	
跪	kuɘi5	
路	lʉ5	
跳	tʰiɑ5	
蹺	tɕʰiɑ1	
踏	tʰɒ2	
蹄	tʰi2	
蹦	poŋ5	
蹲	toŋ1	
躁	tsʰɑ5	
身	sɘⁿ1	
躬	koŋ1	
躲	to3	
躺	tʰᴀᵑ3	
車	tɕi1	
車	tsʰɘi1	
軋	tsɒ2	
軌	kuɘi3	
軒	ɕiᴇ̃1	
轉	tʃuɘⁿ/tɕyɘⁿ3	~动
轉	tʃuɘⁿ/tɕyɘⁿ5	~圈
軛	ɣɘi2	
輪	loŋ2	
軟	ʒuɘⁿ/ʑyɘⁿ3	
轟	xoŋ1	
軸	tsʉ2	
輕	tsʰɪⁿ1	
載	ta5	~重量
轎	tɕiɑ5	
輔	fʉ3	
輦	niᴇ̃3	
輩	pɘi5	
輝	xuɘi1	
輯	tɕi2	
輸	sʉ1	
辛	sɪⁿ1	
辭	tsʰɿᵊ2	
辟	pʰi2	
辟	pi5	
辣	lɒ2	
辨	piᴇ̃5	
辯	piᴇ̃5	
辮	piᴇ̃5	
辱	zʉ2	
邊	piᴇ̃1	
達	tɒ2	
遷	tɕʰiᴇ̃1	
迂	ʑi1	人很~
迅	sɪⁿ5	
過	ko5	
迎	zɪⁿ2	
運	zɪⁿ5	
近	tsɪⁿ5	
還	xa2	~有
還	xuɘⁿ2	归~
這	tsɿᵊ1	
這	tsɘi5	文
這	tɕi1	白
進	tsɪⁿ5	
遠	ʑiᴇ̃3	
違	uɘi2	
連	liᴇ̃2	
遲	tsʰɿᵊ2	
迫	pʰɘi2	
述	sʉ2	
迷	mi2	
追	tʃuɘi/tɕyɘi1	
退	tʰuɘi5	
送	soŋ5	
適	sɿᵊ2	
適	sɿᵊ5	合~
逃	tʰɑ2	
選	ɕiᴇ̃3	
透	tʰɜɤ5	
逐	tsʉ2	
遞	tʰi5	
途	tʰʉ2	
逗	tɜɤ5	
逗	tɜɤ1	挑~
通	tʰoŋ1	
逛	kuᴀᵑ5	
速	sʉ2	
造	tsʰɑ5	
逢	foŋ2	
逮	ta3	
逵	kʰuɘi2	
逸	ʑi2	
遇	ʑi5	
遍	pʰiᴇ̃5	
道	tɑ5	
遺	ʑi2	
遺	tɕʰiᴇ̃3	
遭	tsɑ1	
遮	tsɘi1	
遵	tsoŋ1	
邀	ʑiɑ1	
那	ɒ1	白
邦	pᴀᵑ1	
邪	ɕi2	
郵	ʑiɜɤ2	
邵	sɑ5	
鄒	tsɜɤ1	
鄰	lɪⁿ2	
郁	zʉ2	
郊	tɕiɑ1	
郎	lᴀᵑ2	
鄭	tsɘⁿ5	
郝	xo2	
郡	tsɪⁿ5	
部	pʉ5	
郭	ko2	
都	tʉ1	~市
都	tɘi1	白
鄙	pʰi3	
酉	ʑiɜɤ5	
配	pʰɘi5	
酒	tɕiɜɤ3	
酬	tsʰɜɤ2	
醬	tɕiᴀᵑ5	
酵	ɕiɑ5	
酷	kʰʉ2	
酸	ʃuɘⁿ/ɕyɘⁿ1	
釅	ʑiᴇ̃5	
釀	niᴀᵑ5	
釀	zᴀᵑ3	~酒
醃	ʑiᴇ̃1	
醉	tʃuɘi/tɕyɘi5	
醋	tsʰʉ5	
醒	sɪⁿ3	
采	tsʰa3	
釉	ʑiɜɤ5	
里	li3	
里	ʑi3	~头
重	tsʰoŋ2	
重	tsoŋ5	
野	ʑi3	
量	liᴀᵑ2	丈~
量	liᴀᵑ5	数~
金	tsɪⁿ1	
鉴	tɕiᴇ̃5	
鐳	luɘi1	
針	tsɘⁿ1	
釘	tɪⁿ1	
釘	tɪⁿ5	
釘	tʰɪⁿ1	~钯儿
釣	tiɑ5	
釵	tsʰa1	
鈔	tsʰɑ1	
钟	tsoŋ1	
鋼	kᴀᵑ1	
鑰	ʑio2	
欽	tsʰɪⁿ1	
鉤	kɜɤ1	
鈀	pʰɒ1	
錢	tɕʰiᴇ̃2	
鉗	tɕʰiᴇ̃2	
鑽	tʃuɘⁿ/tɕyɘⁿ1	
鑽	tʃuɘⁿ/tɕyɘⁿ5	~子
鐵	tʰi2	
鈴	lɪⁿ2	
鉛	tɕʰiᴇ̃1	
鉚	mɑ3	
鉋	pɑ5	
銅	tʰoŋ2	
鍘	tsɒ2	
鏵	xuɒ2	
銘	mɪⁿ2	
鏟	tsʰᴀᵑ3	
銀	zɪⁿ2	
鑄	tsʉ5	
鋪	pʰʉ5	
鋪	pʰʉ1	~设
銷	ɕiɑ1	
鎖	so3	
鋤	tsʰʉ2	
鍋	ko1	
鍋	kʉ1	~巴
鏽	ɕiɜɤ5	
銼	tsʰo5	
鋒	foŋ1	
銳	ʒuɘi/ʑyɘi5	
錯	tsʰo5	
錨	mɑ2	
錛	pɘⁿ1	
錫	ɕi2	
錘	tʃʰuɘi/tɕʰyɘi2	
錐	tʃuɘi/tɕyɘi1	
錦	tsɪⁿ3	
錠	tɪⁿ5	
鋸	tɕi5	
鋸	kɘi5	白
鍛	tuɘⁿ5	
鍍	tʉ5	
鎮	tsɘⁿ5	
鑷	ni2	
鎬	kɑ3	
鏡	tsɪⁿ5	
鐙	tɘⁿ5	
鐲	tso2	
鐮	liᴇ̃2	
鑲	ɕiᴀᵑ1	
長	tsʰᴀᵑ2	~短
長	tsᴀᵑ3	~大
門	mɘⁿ2	
閂	ʃuɘⁿ/ɕyɘⁿ1	
閃	sᴀᵑ3	
閉	pi5	
問	vɘⁿ5	
闖	tʃʰuᴀᵑ/tɕʰyᴀᵑ3	
閏	zoŋ5	
闲	ɕiᴇ̃2	
間	tɕiᴇ̃5	~断
間	tɕʰiᴇ̃1	中~
間	tɕiᴇ̃1	空~
悶	mɘⁿ5	胸~
悶	mɘⁿ1	闭嘴，~啰嘴
閘	tsɒ2	
鬧	nɑ5	
閨	kuɘi1	
聞	vɘⁿ2	
閩	mɪⁿ3	
閣	ko2	
閻	ʑiᴇ̃2	
闊	kʰo2	
隊	tuɘi5	
阮	ʒuɘⁿ/ʑyɘⁿ3	
防	fᴀᵑ2	
陽	ʑiᴀᵑ2	
陰	zɪⁿ1	
陣	tsɘⁿ5	
階	ka1	
阻	tsʉ3	
阿	ɣo1	~胶
附	fʉ5	
際	tɕi5	
隴	loŋ3	
陳	tsʰɘⁿ2	
陌	mɘi2	
降	tɕiᴀᵑ5	下~
降	ɕiᴀᵑ2	投~
限	ɕiᴇ̃5	
陝	sᴀᵑ3	
陡	tɜɤ3	
院	ʑiᴇ̃5	
院	uɘⁿ5	医~
除	tsʰʉ2	
險	ɕiᴇ̃3	
陪	pʰɘi2	
陶	tʰɑ2	
陷	xᴀᵑ5	~进田头
陷	ɕiᴇ̃5	攻~
隆	loŋ2	
隨	ʃuɘi/ɕyɘi2	
隱	zɪⁿ3	
隔	kɘi2	
隘	ɣa5	
障	tsᴀᵑ5	
隧	ʃuɘi/ɕyɘi5	
隶	li5	
難	nᴀᵑ2	~处
難	nᴀᵑ5	灾~
雀	tɕʰio2	
雁	ʑiᴇ̃5	
雄	ɕioŋ2	
雅	ʑiɒ3	
集	tɕi2	
雇	kʉ5	
雌	tsʰɿᵊ1	
雍	ʑioŋ1	
雕	tiɑ1	
雨	ʑi3	
雪	ɕi2	
雷	luɘi2	
雹	pɑ5	冰~
霧	vʉ5	
需	ɕi1	
霄	ɕiɑ1	
震	tsɘⁿ5	
霍	xo2	
霜	ʃuᴀᵑ/ɕyᴀᵑ1	
霞	ɕiɒ2	
露	lʉ5	
霸	pɒ5	
青	tsʰɪⁿ1	
靜	tsɪⁿ5	
非	fɘi1	
靠	kʰɑ5	
面	mɘⁿ5	~前
面	mᴀᵑ5	一~走一~说
面	miᴇ̃5	对面
革	kɘi2	
靴	ɕi1	
鞋	xa2	
鞍	ɣᴀᵑ1	
鞭	piᴇ̃1	
韌	zɘⁿ3	
韓	xᴀᵑ2	
韭	tɕiɜɤ3	
音	zɪⁿ1	
韵	zɪⁿ5	
韶	sɑ2	
頁	ʑi2	
頂	tɪⁿ3	
頃	tsʰɪⁿ3	
項	xᴀᵑ5	
順	ɕi1	
順	soŋ5	
顧	kʉ5	
頓	toŋ5	
頒	pᴀᵑ1	
頌	soŋ5	
領	lɪⁿ3	
頗	pʰo3	
頸	tsɪⁿ3	
頻	pʰɪⁿ2	
頹	tʰuɘi2	
穎	zɪⁿ3	
顆	kʰo1	
題	tʰi2	
顏	ʑiᴇ̃2	
額	ɣɘi2	
顛	tiᴇ̃1	
顫	tsᴀᵑ5	
風	foŋ1	
颼	sɜɤ1	
飄	pʰiɑ1	
飛	fɘi1	
餐	tsʰᴀᵑ1	
餐	tsʰɿᵊ2	
饥	tɕi1	
飯	fᴀᵑ5	
飲	zɪⁿ3	
餞	tɕiᴇ̃5	
飽	pɑ3	
飼	sɿᵊ5	
飴	ʑi2	
饒	zɑ2	
餃	tɕiɑ3	
餅	pɪⁿ3	
餓	ɣo5	
館	kuɘⁿ3	
餿	sɜɤ1	
饞	tsʰᴀᵑ2	
饅	mᴀᵑ2	
首	sɜɤ3	
香	ɕiᴀᵑ1	
馨	sɪⁿ1	
騲	tsʰɑ3	~马
馬	mɒ3	
馱	tʰo2	
馱	to5	马~子
馳	tsʰɿᵊ2	
驅	tɕʰi1	
駁	po2	
驢	li2	
駛	sɿᵊ3	
駒	tɕi1	
駐	tsʉ5	
駝	tʰo2	
駑	nʉ2	
駕	tɕiɒ5	
駡	mɒ5	
驕	tɕiɑ1	
驗	ʑiᴇ̃5	
駿	tɕʰi1	黑~
騎	tɕʰi2	
騙	pʰiᴇ̃5	
騷	sɑ1	
騾	lo2	
驟	tsʰɜɤ5	
骨	kʉ2	
髓	soŋ3	骨~
高	kɑ1	
鬥	tɜɤ5	遇
鬼	kuɘi3	
魁	kʰuɘi1	
魂	xoŋ2	
魄	pʰɘi2	
魘	ʑiᴇ̃3	
魏	uɘi5	
魔	mo2	
魚	ʑi2	
魯	lʉ3	
鮓	tsɒ3	~肉
鮮	ɕiᴇ̃1	
鯁	kɘⁿ3	
鯉	li3	
鯽	tɕi2	
鰓	sa1	
鰥	kuɘⁿ1	
鰾	pʰiɑ1	
鱉	pi2	
鱗	lɪⁿ2	
鳥	niɑ3	
鳩	tɕiɜɤ1	
雞	tɕi1	
鴉	ʑiɒ1	
鸕	lʉ2	
鴨	ʑiɒ2	
鴰	uɒ5	
鴿	ko2	
鸞	luɘⁿ2	
鴻	xoŋ2	
鵝	ɣo2	
鵡	vʉ3	
鵲	tɕʰio2	
鵬	pʰoŋ2	
鵮	kʰᴀᵑ1	鸡~米
鶴	xo2	
鸚	zɪⁿ1	
鷺	lʉ5	
鷹	zɪⁿ1	
鹿	lʉ2	
麝	sɘi5	
麥	mɘi2	
麯	tɕʰi2	
麩	fʉ1	
麻	mɒ2	
黃	xuᴀᵑ2	
黎	li2	
黏	niᴇ̃2	
黑	xɘi2	
默	mɘi2	
鼎	tɪⁿ3	
鼓	kʉ3	
鼠	tsʰʉ3	
鼻	pi2	
鼾	xᴀᵑ1	
齁	xɜɤ1	
齊	tɕʰi2	
齒	tsʰɿᵊ3	
龍	loŋ2	
龕	kʰᴀᵑ1	
龜	kuɘi1	
